GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sausage-store,com.yandex.practicum.devops.service,ProductServiceImpl,5,25,0,0,0,8,1,4,1,4
sausage-store,com.yandex.practicum.devops.service,BusinessMetricsService,54,133,11,1,10,18,6,4,0,4
sausage-store,com.yandex.practicum.devops.service,OrderProductServiceImpl,0,12,0,0,0,4,0,2,0,2
sausage-store,com.yandex.practicum.devops.service,OrderServiceImpl,0,41,0,0,0,13,0,4,0,4
sausage-store,com.yandex.practicum.devops.model,Product,0,46,0,0,0,20,0,10,0,10
sausage-store,com.yandex.practicum.devops.model,OrderProduct,42,63,11,1,12,18,8,8,2,8
sausage-store,com.yandex.practicum.devops.model,Order,0,65,0,2,0,21,0,12,0,11
sausage-store,com.yandex.practicum.devops.model,OrderStatus,0,9,0,0,0,2,0,1,0,1
sausage-store,com.yandex.practicum.devops.model,OrderProductPK,92,14,22,0,30,6,14,4,3,4
sausage-store,com.yandex.practicum.devops.controller,ProductController,0,10,0,0,0,4,0,2,0,2
sausage-store,com.yandex.practicum.devops.controller,OrderController.OrderForm,0,10,0,0,0,4,0,3,0,3
sausage-store,com.yandex.practicum.devops.controller,OrderController,5,126,1,3,1,34,1,6,0,5
sausage-store,com.yandex.practicum.devops,SausageApplication,5,79,0,0,2,9,1,3,1,3
sausage-store,com.yandex.practicum.devops.dto,OrderProductDto,0,17,0,0,0,7,0,5,0,5
sausage-store,com.yandex.practicum.devops.exception,ResourceNotFoundException,16,0,0,0,8,0,4,0,4,0
sausage-store,com.yandex.practicum.devops.exception,ApiExceptionHandler,51,3,2,0,11,1,3,1,2,1
sausage-store,com.yandex.practicum.devops.exception,ApiExceptionHandler.ErrorItem,17,0,0,0,7,0,5,0,5,0
sausage-store,com.yandex.practicum.devops.exception,ApiExceptionHandler.ErrorResponse,21,0,0,0,7,0,4,0,4,0
